h2,ch4,c2h6,c2h4,c2h2,act
1458,9,1812,0.0001,0.0001,1
2240,157,90,157,45,1
73,8,4,2,12,1
235,16,0.0001,35,0.0001,1
9340,995,60,6,7,1
33046,619,58,2,0.0001,1
8266,1061,22,0.0001,0.0001,1
230,15.9,16.3,1.9,2.4,1
109,16,0.0001,0.0001,0.0001,1
113,21,48,0.0001,4,1
1309,124,113,6,0.0001,1
1549.2,10.2,0.0001,53.19,0.0001,1
101,8.1,0.0001,3,0.0001,1
36036,4704,554,5,10,1
160,10,3,1,1,1
1076,95,4,71,231,1
407,28,15,21,0.0001,1
2240,560,380,450,940,1
92600,10200,1,2,0.0001,1
2587.2,112.25,4.704,1.4,0.0001,1
195.9,14.5,11.6,2.4,0.0001,1
180.85,0.574,0.234,0.188,0.0001,1
4480,560,380,403,896,1
1651,90,33,45,2,1
980,73,58,12,0.0001,1
6600,1000,38,2,19,1
56,61,75,32,31,1
2240,168,25,0.0001,0.0001,1
92600,10200,0.0001,0.0001,0.0001,1
24.3,15.7,6.4,11.2,29.8,1
485,35,29,6,0.0001,1
109,4,11,9,0.0001,1
16000,4000,500,8500,16000,1
2031,149,20,3,0.0001,1
870,77,73,54,14,1
106,4,2,1,0.0001,1
32930,2397,157,0.0001,0.0001,1
197,12,6.6,15,0.0001,1
117,17,1,3,1,1
160,24.7,38.5,0.0001,0.0001,1
134,13,156,0.0001,0.0001,1
166,21,38,6,0.0001,1
183,6,0.0001,5,0.0001,1
2240,157,90,45,45,1
6454,7,0.0001,0.0001,0.0001,1
240,20,5,28,96,1
65.2,4000,2000,2000,8000,1
143,4.37,0.62,0.02,0.02,1
30.1,112,0.0001,254,4536,1
120,18,0.0001,0.0001,0.0001,1
137,1740,249,8,8,1
23,4.7,16.3,3.5,0.0001,1
4879,230,2,170,480,1
301,1069,1060,1,1,1
716,14,134,5.3,0.0001,1
289,9,0.0001,0.03,0.0001,1
179,23,13,4,3,1
2177,49,9,7,0.6,1
7600,13,267,0.0001,0.0001,1
543,22,76,3.7,0.0001,1
186,3,1,0.0001,0.0001,1
4.1,3600,670,14,0.0001,1
210,110,3,84,700,1
254,149,20,3,0.0001,1
385,18342,2111,27,0.0001,1
843,123,38,2,2,1
208,53,35,20,0.0001,1
65.5,6.75,0.44,0.0001,0.0001,1
35,5,1,0.0001,0.0001,1
3559,19.4,104.1,6.4,3.8,1
10092,7.01,4.49,2.64,0.0001,1
1900,5.3,0.0001,0.0001,0.0001,1
307,5,1,6,29,1
225,360,25,169,828,1
78,2313,121,2159,6432,2
266,20,5,28,96,2
645,20,3.9,8.13,25.1,2
119,5.8,16,10.6,26.3,2
57,17.1,2.2,5.5,30.1,2
14.2,25,1,8,40,2
818,6,11.4,6.4,16.5,2
115,63,54,10,0.3,2
205,262,15,332,1827,2
101.72,5.78,4.7,9.7,5,2
135,7.1,3.3,20,6.8,2
47.5,13.4,18.2,49.8,36.3,2
6870,29,10,17,33,2
119,1049,207,440,705,2
60,1230,318,836,1560,2
385,120,41,411,1880,2
5.26,38.3,13,37,85.9,2
2510,3.5,0.68,1.2,5.2,2
650,22,6,6,7,2
153,5.2,0.0001,9.3,88,2
1790,28.8,50,82.3,171,2
256,133,12,168,385,2
60,7.6,27.5,9.7,14.4,2
151,23.3,1,2.1,26,2
9,6,3,26,482,2
274,187,22,230,1140,2
305,5399,530,6500,37565,2
176,285,31,957,7730,2
87,22,2,33,109,2
220,4.7,0.0001,8.7,89,2
274,20,11,13,28,2
155,30.2,4.9,26.2,60.2,2
137,86,13,110,317,2
63,8,23.3,7.9,12.3,2
292,24,2,27,30,2
217,4,1.4,1.5,9.51,2
13500,94,49,121,978,2
88.5,25.5,110,12.2,8.6,2
50,20,8,0.0001,6,2
60,27.65,7.13,16.92,53.87,2
25,27,24,9,13,2
37.9,22.9,4.5,9.6,15.3,2
18.34,1028,79,900,5500,2
1084,8,20,0.0001,21,2
497,10,4,4,4,2
32.4,60,8,53,159,2
19,0.0001,0.0001,28.2,66.4,2
210,202,139,208,1730,2
26,81,170,51,270,2
114,18,9,0.0001,278,2
7150,580,321,336,619,2
8,8,37.4,15,21.1,2
1607,10,0.0001,11,39,2
46,13.5,50.7,5,9.2,2
1027,3.9,0.8,4,13,2
37,27,5,33,97,2
200,100,33,161,541,2
392,652.9,47.7,75.7,68.7,2
12.4,7,0.0001,15,101,2
71,19,5,12,59,2
127,0.0001,0.0001,43,101,2
800,38,48.5,6.5,5.8,2
212,4,1.3,1.5,9.5,2
8200,14,4,0.0001,13,2
2800,27,6,12,29,2
195.7,39.3,64,654,168,2
235,10,3,1,1,2
441,1,2,7,52,2
110,10,20,66,182,2
88,33,8,29,111,2
531,32,4,18,65,2
9474,334.1,75,32,31,2
152,7.1,33,20,6.8,2
150,690,5,196,1180,2
75,17,4,7,38,2
43,26,7,19,133,2
1114,121.3,25.5,31.9,198.5,2
35,28,27,36,148,2
629,112.3,27.5,51.5,58.8,2
7940,30.28,6.11,47.69,175.88,2
7020,18,9,0.0001,11,2
151,163,27,233,692,2
2,2.8,47,0.0001,27.5,2
75.5,97,193,40,121,2
17,500,1,400,500,2
156,80,9,89,244,2
21,6,6,7,10,2
64,60,14,93,218,2
25,8.89,1.88,12.67,36.2,2
2770,10,0.0001,11,39,2
4419,267,18,355,2060,2
1500,34,23,15,60,3
10,77,22,170,240,3
1570,27,5,33,97,3
22,49,69.3,42,10.7,3
1249,67,7,53,104,3
1900,22,15,11,76,3
5900,346,32,313,196,3
3700,286,14,458,884,3
75,6110,212,4510,4040,3
323,22.8,108.4,12,7.5,3
127,42,98,10,33,3
3090,5,2,21,32,3
48,9,6,5,44,3
60,7.7,2.16,18.4,33.7,3
30,16.26,3.38,17.95,16.42,3
7020,188,8,166,769,3
1170,230,51,151,122,3
858,5.5,1.4,12.6,13.2,3
14.3,12,2,8,63,3
