,h2,ch4,c2h6,c2h4,c2h2,act
0,23.0,4.7,16.3,3.5,0.0001,1
1,35.0,5.0,1.0,0.0001,0.0001,1
2,24.3,15.7,6.4,11.2,29.8,1
3,65.5,6.75,0.44,0.0001,0.0001,1
4,73.0,8.0,4.0,2.0,12.0,1
5,88.0,9.0,0.0,0.03,0.0,1
6,101.0,8.1,0.0001,3.0,0.0001,1
7,109.0,16.0,0.0001,0.0001,0.0001,1
8,109.0,4.0,11.0,9.0,0.0001,1
9,106.0,4.0,2.0,1.0,0.0001,1
10,117.0,17.0,1.0,3.0,1.0,1
11,120.0,18.0,0.0001,0.0001,0.0001,1
12,113.0,21.0,48.0,0.0001,4.0,1
13,56.0,61.0,75.0,32.0,31.0,1
14,208.0,53.0,35.0,20.0,0.0001,1
15,485.0,35.0,29.0,6.0,0.0001,1
16,235.0,16.0,0.0001,35.0,0.0001,1
17,143.0,4.37,0.62,0.02,0.02,1
18,197.0,12.0,6.6,15.0,0.0001,1
19,166.0,21.0,38.0,6.0,0.0001,1
20,179.0,23.0,13.0,4.0,3.0,1
21,195.9,14.5,11.6,2.4,0.0001,1
22,230.0,15.9,16.3,1.9,2.4,1
23,160.0,24.7,38.5,0.0001,0.0001,1
24,543.0,22.0,76.0,3.7,0.0001,1
25,160.0,10.0,3.0,1.0,1.0,1
26,183.0,6.0,0.0001,5.0,0.0001,1
27,407.0,28.0,15.0,21.0,0.0001,1
28,186.0,3.0,1.0,0.0001,0.0001,1
29,180.85,0.574,0.234,0.188,0.0001,1
30,254.0,149.0,20.0,3.0,0.0001,1
31,289.0,9.0,0.0001,0.03,0.0001,1
32,307.0,5.0,1.0,6.0,29.0,1
33,240.0,20.0,5.0,28.0,96.0,1
34,134.0,13.0,156.0,0.0001,0.0001,1
35,462.0,212.4,31.6,0.0,0.0,1
36,843.0,123.0,38.0,2.0,2.0,1
37,716.0,14.0,134.0,5.3,0.0001,1
38,870.0,77.0,73.0,54.0,14.0,1
39,980.0,73.0,58.0,12.0,0.0001,1
40,1076.0,95.0,4.0,71.0,231.0,1
41,1309.0,124.0,113.0,6.0,0.0001,1
42,1651.0,90.0,33.0,45.0,2.0,1
43,1549.2,10.2,0.0001,53.19,0.0001,1
44,1950.0,123.0,38.0,2.0,2.0,1
45,4879.0,230.0,2.0,170.0,480.0,1
46,2031.0,149.0,20.0,3.0,0.0001,1
47,1900.0,5.3,0.0001,0.0001,0.0001,1
48,210.0,110.0,3.0,84.0,700.0,1
49,2240.0,157.0,90.0,157.0,45.0,1
50,2177.0,49.0,9.0,7.0,0.6,1
51,2240.0,157.0,90.0,45.0,45.0,1
52,2240.0,168.0,25.0,0.0001,0.0001,1
53,2240.0,168.0,25.0,0.0,0.0,1
54,225.0,360.0,25.0,169.0,828.0,1
55,3559.0,19.4,104.1,6.4,3.8,1
56,137.0,1740.0,249.0,8.0,8.0,1
57,301.0,1069.0,1060.0,1.0,1.0,1
