,h2,ch4,c2h6,c2h4,c2h2,act
0,1458.0,9.0,1812.0,0.0001,0.0001,1
1,2240.0,157.0,90.0,157.0,45.0,1
2,73.0,8.0,4.0,2.0,12.0,1
3,235.0,16.0,0.0001,35.0,0.0001,1
4,9340.0,995.0,60.0,6.0,7.0,1
5,33046.0,619.0,58.0,2.0,0.0001,1
6,8266.0,1061.0,22.0,0.0001,0.0001,1
7,230.0,15.9,16.3,1.9,2.4,1
8,109.0,16.0,0.0001,0.0001,0.0001,1
9,113.0,21.0,48.0,0.0001,4.0,1
10,1309.0,124.0,113.0,6.0,0.0001,1
11,1549.2,10.2,0.0001,53.19,0.0001,1
12,101.0,8.1,0.0001,3.0,0.0001,1
13,36036.0,4704.0,554.0,5.0,10.0,1
14,160.0,10.0,3.0,1.0,1.0,1
15,1076.0,95.0,4.0,71.0,231.0,1
16,407.0,28.0,15.0,21.0,0.0001,1
17,2240.0,560.0,380.0,450.0,940.0,1
18,92600.0,10200.0,1.0,2.0,0.0001,1
19,2587.2,112.25,4.704,1.4,0.0001,1
20,195.9,14.5,11.6,2.4,0.0001,1
21,180.85,0.574,0.234,0.188,0.0001,1
22,4480.0,560.0,380.0,403.0,896.0,1
23,1651.0,90.0,33.0,45.0,2.0,1
24,980.0,73.0,58.0,12.0,0.0001,1
25,6600.0,1000.0,38.0,2.0,19.0,1
26,56.0,61.0,75.0,32.0,31.0,1
27,2240.0,168.0,25.0,0.0001,0.0001,1
28,92600.0,10200.0,0.0001,0.0001,0.0001,1
29,24.3,15.7,6.4,11.2,29.8,1
30,485.0,35.0,29.0,6.0,0.0001,1
31,109.0,4.0,11.0,9.0,0.0001,1
32,16000.0,4000.0,500.0,8500.0,16000.0,1
33,2031.0,149.0,20.0,3.0,0.0001,1
34,870.0,77.0,73.0,54.0,14.0,1
35,106.0,4.0,2.0,1.0,0.0001,1
36,32930.0,2397.0,157.0,0.0001,0.0001,1
37,197.0,12.0,6.6,15.0,0.0001,1
38,117.0,17.0,1.0,3.0,1.0,1
39,160.0,24.7,38.5,0.0001,0.0001,1
40,134.0,13.0,156.0,0.0001,0.0001,1
41,166.0,21.0,38.0,6.0,0.0001,1
42,183.0,6.0,0.0001,5.0,0.0001,1
43,2240.0,157.0,90.0,45.0,45.0,1
44,6454.0,7.0,0.0001,0.0001,0.0001,1
45,240.0,20.0,5.0,28.0,96.0,1
46,65.2,4000.0,2000.0,2000.0,8000.0,1
47,143.0,4.37,0.62,0.02,0.02,1
48,30.1,112.0,0.0001,254.0,4536.0,1
49,120.0,18.0,0.0001,0.0001,0.0001,1
50,137.0,1740.0,249.0,8.0,8.0,1
51,23.0,4.7,16.3,3.5,0.0001,1
52,4879.0,230.0,2.0,170.0,480.0,1
53,301.0,1069.0,1060.0,1.0,1.0,1
54,716.0,14.0,134.0,5.3,0.0001,1
