,h2,ch4,c2h6,c2h4,c2h2,act
0,1458.0,9.0,1812.0,0.00010000000000022205,0.00010000000000022205,PD
1,2240.0,157.0,90.0,157.0,45.0,PD
2,73.0,8.0,4.0,2.0,12.0,PD
3,235.0,16.0,0.00010000000000022205,35.0,0.00010000000000022205,PD
4,9340.0,995.0,60.0,6.0,7.0,PD
5,33046.0,619.0,58.0,2.0,0.00010000000000022205,PD
6,8266.0,1061.0,22.0,0.00010000000000022205,0.00010000000000022205,PD
7,230.0,15.9,16.3,1.9000000000000001,2.4000000000000004,PD
8,109.0,16.0,0.00010000000000022205,0.00010000000000022205,0.00010000000000022205,PD
9,113.0,21.0,48.0,0.00010000000000022205,4.0,PD
10,1309.0,124.0,113.0,6.0,0.00010000000000022205,PD
11,1549.2,10.2,0.00010000000000022205,53.19,0.00010000000000022205,PD
12,101.0,8.1,0.00010000000000022205,3.0,0.00010000000000022205,PD
13,36036.0,4704.0,554.0,5.0,10.0,PD
14,160.0,10.0,3.0,1.0000000000000002,1.0000000000000002,PD
15,1076.0,95.0,4.0,71.0,231.0,PD
16,407.0,28.0,15.0,21.0,0.00010000000000022205,PD
17,2240.0,560.0,380.0,450.0,940.0,PD
18,92600.0,10200.0,1.0000000000000002,2.0,0.00010000000000022205,PD
19,2587.2,112.25,4.704,1.4000000000000001,0.00010000000000022205,PD
20,195.9,14.5,11.6,2.4000000000000004,0.00010000000000022205,PD
21,180.85,0.5740000000000002,0.23400000000000024,0.18800000000000022,0.00010000000000022205,PD
22,4480.0,560.0,380.0,403.0,896.0,PD
23,1651.0,90.0,33.0,45.0,2.0,PD
24,980.0,73.0,58.0,12.0,0.00010000000000022205,PD
25,6600.0,1000.0,38.0,2.0,19.0,PD
26,56.0,61.0,75.0,32.0,31.0,PD
27,2240.0,168.0,25.0,0.00010000000000022205,0.00010000000000022205,PD
28,92600.0,10200.0,0.00010000000000022205,0.00010000000000022205,0.00010000000000022205,PD
29,24.3,15.7,6.4,11.2,29.8,PD
30,485.0,35.0,29.0,6.0,0.00010000000000022205,PD
31,109.0,4.0,11.0,9.0,0.00010000000000022205,PD
32,16000.0,4000.0,500.0,8500.0,16000.0,PD
33,2031.0,149.0,20.0,3.0,0.00010000000000022205,PD
34,870.0,77.0,73.0,54.0,14.0,PD
35,106.0,4.0,2.0,1.0000000000000002,0.00010000000000022205,PD
36,32930.0,2397.0,157.0,0.00010000000000022205,0.00010000000000022205,PD
37,197.0,12.0,6.6,15.0,0.00010000000000022205,PD
38,117.0,17.0,1.0000000000000002,3.0,1.0000000000000002,PD
39,160.0,24.7,38.5,0.00010000000000022205,0.00010000000000022205,PD
40,134.0,13.0,156.0,0.00010000000000022205,0.00010000000000022205,PD
41,166.0,21.0,38.0,6.0,0.00010000000000022205,PD
42,183.0,6.0,0.00010000000000022205,5.0,0.00010000000000022205,PD
43,2240.0,157.0,90.0,45.0,45.0,PD
44,6454.0,7.0,0.00010000000000022205,0.00010000000000022205,0.00010000000000022205,PD
